epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,5491.14,0.4558,0.57187,0.42246,0.89959,0,0.72204,0.8473,0.78393,0.68434,0.72492,0.87964,0.79359,0.62072,0.55565,0.56435,1.24199,1.02802,0,0.0007492,0.0007492,0.0007492
40,5634.95,0.44911,0.5585,0.42933,0.89479,0,0.71637,0.8294,0.76171,0.66168,0.73186,0.85541,0.77639,0.6056,0.59416,0.54421,1.31468,1.0667,0,0.0007426,0.0007426,0.0007426
41,5779.69,0.44784,0.55632,0.42407,0.89385,0,0.76505,0.82095,0.80215,0.69742,0.75274,0.86622,0.81449,0.6415,0.56093,0.54879,1.13079,1.0571,0,0.000736,0.000736,0.000736
42,5933.11,0.44832,0.55271,0.41611,0.89662,0,0.77798,0.79315,0.774,0.66768,0.77575,0.82043,0.78523,0.61384,0.59803,0.53728,1.32261,1.07036,0,0.0007294,0.0007294,0.0007294
43,6076.2,0.44416,0.55604,0.41626,0.89403,0,0.72564,0.84349,0.7596,0.65999,0.74525,0.84601,0.77046,0.60706,0.59422,0.50568,1.32734,1.08506,0,0.0007228,0.0007228,0.0007228
44,6219.7,0.44427,0.54684,0.41087,0.89493,0,0.76534,0.79662,0.7691,0.6717,0.72994,0.86284,0.77982,0.61535,0.56669,0.54067,1.29308,1.04847,0,0.0007162,0.0007162,0.0007162
45,6368.86,0.44493,0.55991,0.41401,0.89432,0,0.75508,0.802,0.77474,0.67078,0.71275,0.88108,0.78304,0.61819,0.57296,0.53373,1.29877,1.05353,0,0.0007096,0.0007096,0.0007096
46,6510.32,0.43714,0.55453,0.39708,0.89464,0,0.7375,0.84865,0.78754,0.67205,0.75642,0.87568,0.80625,0.62565,0.64454,0.52379,1.43738,1.12235,0,0.000703,0.000703,0.000703
47,6664.05,0.43703,0.54881,0.39702,0.88773,0,0.73815,0.83311,0.78181,0.67775,0.74505,0.86882,0.7951,0.62419,0.5999,0.53643,1.31945,1.06687,0,0.0006964,0.0006964,0.0006964
48,6817.79,0.44206,0.55899,0.39353,0.89246,0,0.77573,0.81096,0.80735,0.69049,0.77143,0.84602,0.81898,0.63965,0.60812,0.56282,1.28386,1.08701,0,0.0006898,0.0006898,0.0006898
49,6962.26,0.43562,0.53699,0.39236,0.89098,0,0.74417,0.83108,0.78326,0.66211,0.75119,0.85743,0.79666,0.61992,0.62522,0.56949,1.20412,1.11143,0,0.0006832,0.0006832,0.0006832
50,7107.6,0.43234,0.54723,0.3931,0.88898,0,0.71755,0.85338,0.77573,0.67323,0.73692,0.87628,0.78924,0.61367,0.60414,0.5543,1.32469,1.07328,0,0.0006766,0.0006766,0.0006766
