x,y,theta
0.0,0.0,0.02949606435870411
0.0,0.0,0.03822271061867577
0.0,0.0,0.04468042885105483
0.0,0.0,0.0459021593274509
0.0,0.0,0.03717551306747924
0.0,0.0,0.030543261909900754
0.0,0.0,0.021816615649929094
0.0,0.0,0.014137166941154078
0.0,0.0,0.007679448708775016
0.0,0.0,6.28213810962839
0.003400608978874277,-3.323807941845243e-05,6.273411463368418
0.006805478774244863,-9.26703027687731e-05,6.265732014659643
0.01841477824947086,-0.00039667050830024863,6.257005368399671
0.03000839705191022,-0.0008643450875571702,6.242868201458517
0.0552501832890496,-0.0023241975386410975,6.225414908938574
0.08044352247073411,-0.004470741040552338,6.198187772607462
0.10935211189848403,-0.007892298075939183,6.165375582669969
0.1378537952349366,-0.012248577670935852,6.131516195181279
0.16306166862215188,-0.017007098262810254,6.0966096101413925
0.18812110439136423,-0.022562641421688207,6.065019150680295
0.21320381163781713,-0.02896080572741228,6.033428691219198
0.2381045534489365,-0.03624701006950374,5.998522106179311
0.26163832417506766,-0.043979969026938334,5.965709916241818
0.28494141055228256,-0.05240636946026268,5.936213851883114
0.3099011637336937,-0.062334015787660034,5.904623392422016
0.33479200747043497,-0.0731878704435436,5.871985735409722
0.35985267592294456,-0.08503934582524977,5.841442473499821
0.3841117610974459,-0.0971979841003773,5.818578660298696
0.409496048740133,-0.11019896346135191,5.809852014038724
0.434795062913425,-0.12315626861601237,5.809852014038724
0.4593905205445874,-0.1355211169687202,5.817356929822299
0.4843639176599147,-0.14783663352860724,5.825036378531075
0.5089678503984112,-0.15960375017166814,5.837079150369836
0.533898107935877,-0.1707660385243056,5.8622118915985535
0.5589780962820299,-0.18109302341004402,5.892580620583256
0.584490383185197,-0.19063167662175906,5.925392810520749
0.6097780860780379,-0.19906338805391827,5.9613465931118315
0.6357701658374558,-0.20673299492130512,5.9962531781517185
0.6602723111919483,-0.21301496070073858,6.032206960742801
0.6851854152846925,-0.21851069807637608,6.066066348231492
0.7107223932446985,-0.22324369718192125,6.0999257357201815
0.7363731986949674,-0.22716424036735908,6.131516195181279
0.7635509912966824,-0.23050125369827085,6.161012259539984
0.7908731621272026,-0.2330406645869905,6.190508323898687
0.8205274939655444,-0.23501550168503468,6.216688262678602
0.8503647242084539,-0.23618780965409109,6.243915399009714
0.8809630655686965,-0.23655631631254725,6.271142535340825
0.9110186815269588,-0.23613138674311335,0.014137166941154078
0.9422765686346224,-0.23479943201263193,0.042586033748661656
0.9737119743728602,-0.23249647614665622,0.07312929565856241
1.0074595089209253,-0.22898519415337082,0.10367255756846316
1.041153614916904,-0.22432173792709362,0.13753194505715327
1.0755143540450414,-0.21853472557552597,0.16685347649065796
1.1103907303028486,-0.21159738300846184,0.19634954084936207
1.1444499314803112,-0.20389057260898255,0.22252947962927705
1.1784244012664793,-0.19522427364229097,0.24975661596038856
1.2117950945101903,-0.1857750283165416,0.27593655474030354
1.2446638188515002,-0.17548719322284445,0.3033382239966145
1.2748465921328105,-0.16535302032772153,0.3239331091701475
1.304967187519423,-0.15512845594423533,0.32724923474893675
1.3336080503927856,-0.1453336649619911,0.32951816277652946
1.3621271100056616,-0.13516165556336326,0.342608132166487
1.391936398262723,-0.12405198538598433,0.35674529910764086
1.4216792705858268,-0.11274778749734665,0.3632030173400199
1.4506849752686142,-0.10197218637215574,0.3556981015564443
1.4798476790749941,-0.0915706057718625,0.342608132166487
1.5092887552090637,-0.08139873189404506,0.3326597554301193
1.538718330206625,-0.07151745297790413,0.3239331091701475
1.5716338621565369,-0.060981108131777643,0.30979594222899354
1.6048497801924626,-0.051613250393713055,0.2748893571891069
1.6434320013124313,-0.042925446926386585,0.2214822820780804
1.6821099730653566,-0.03645297421927463,0.16580627893946132
1.7257273807452969,-0.03148339834271976,0.11344640137963147
1.7694050029921047,-0.02770818653929237,0.08621926504851984
1.8150511267227474,-0.024163851329097645,0.07749261878854818
1.8607539562635635,-0.021016088573077137,0.06876597252857652
1.9055047637389393,-0.018427936713808574,0.05777039824101238
1.9504115997120348,-0.015579031055886252,0.06335545184739422
1.9997838481210632,-0.011476513578257524,0.0829031394697306
2.0472031015377183,-0.006492549211030682,0.10471975511965981
2.090511582674557,-0.0015122242979420386,0.11449359893082811
2.1345231526118997,0.0035489533852587924,0.11449359893082811
2.17075511001817,0.007555399590933566,0.11013027580084223
2.207601114195182,0.011590693337671536,0.10908307824964558
2.24165772652744,0.015284411358775417,0.10803588069844894
2.2760923993784816,0.018982653179663297,0.1069886831472524
2.312683519285943,0.022828534855051687,0.10471975511965981
2.349698583708642,0.026679788907480656,0.10367255756846316
2.388377862785798,0.030663258262822856,0.10262536001726663
2.428224354489872,0.03476693553934218,0.10262536001726663
2.4688158073078292,0.03894733425015086,0.10262536001726663
2.509329362707527,0.04311971052657345,0.10262536001726663
2.5481733482938855,0.04712014253860648,0.10262536001726663
2.58729790590265,0.05114946986823298,0.10262536001726663
2.6232708703916123,0.054968471943403735,0.10576695267085645
2.6583115354653306,0.058923685012935746,0.11239920382843482
2.693587980051941,0.06318011026962404,0.12007865253720995
2.728798130720101,0.06769688091439512,0.12758356832078555
2.764061376167867,0.07245839179951309,0.13421581947836392
2.7992683315584355,0.07733123500075446,0.13753194505715327
2.8357402075143883,0.0823791504145392,0.13753194505715327
2.8719976930876916,0.08739739297797616,0.13753194505715327
2.909600501751204,0.09260183592144808,0.13753194505715327
2.947286593086598,0.09806605911189176,0.14398966328953222
2.9849120868068373,0.10394459908195496,0.15498523757709648
